이름,주소,전화번호,메뉴,영업시간
풍원장 시골밥상 롯데프리미엄 아울렛 광명점,"경기도 광명시 일직로 17 롯데프리미엄 아울렛 광명점 5층 지번
지도보기",02-6226-2722,"풍원장정식+숯불돼지불고기: 19,000원
풍원장정식+따닥불고기: 21,000원
풍원장정식: 16,000원
풍원장정식+훈제오리: 20,000원
풍원장정식+보쌈: 20,000원
풍원장정식+꼬막야채무침: 21,000원
풍원장정식+숯불돼지불고기: 19,000원
풍원장정식+따닥불고기: 21,000원
풍원장정식: 16,000원
풍원장정식+훈제오리: 20,000원
풍원장정식+보쌈: 20,000원
풍원장정식+꼬막야채무침: 21,000원","{
    ""월"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""화"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""수"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""금"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""토"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""일"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    }
}"
강순자옛맛김치찌개 광명KTX역점,"경기도 광명시 양지로 11 A115호 지번
지도보기",0507-1367-6678,"옛맛김치찌개: 9,000원
김치 부대찌개: 9,500원
옛맛김치찌개1인분+고기1+계란말이+라면,두부+콜라1(1~2인분): 24,500원
옛맛김치찌개2인분+고기1+계란말이+라면,두부+콜라1(2~3인분): 33,500원
클래식계란말이  (주문즉시조리,신선 5알): 6,000원
[국내산 김치]김치부대찌개 (비조리) [라면사리서비스](2인분(공깃밥 별도)): 22,000원
[국내산 김치]김치부대찌개 (비조리) [라면사리서비스](3인분(공깃밥 별도)): 33,000원
[100%국내산김치][HACCP인증]강순자옛맛김치찌개(1인분(공깃밥 별도)): 11,000원
[100%국내산김치][HACCP인증]강순자옛맛김치찌개(2인분(공깃밥 별도)): 20,000원
[100%국내산김치][HACCP인증]강순자옛맛김치찌개(3인분(공깃밥 별도)): 30,000원
[100%국내산김치][HACCP인증]강순자옛맛김치찌개(4인분(공깃밥 별도)): 40,000원
[하이포크냉장고기][HACCP인증]옛맛 강순자김치찌개.(1인분[공깃밥 별도)): 11,000원
김치돼지볶음: 11,000원
[하이포크냉장고기][HACCP인증]옛맛 강순자김치찌개.(2인분[공깃밥 별도)): 20,000원
[하이포크냉장고기][HACCP인증]옛맛 강순자김치찌개.(3인분[공깃밥 별도)): 30,000원
[하이포크냉장고기][HACCP인증]옛맛 강순자김치찌개.(4인분[공깃밥 별도)): 40,000원
[국내산김치][HACCP인증]옛맛 강순자김치찌개/(1인분[공깃밥 별도)): 11,000원
[국내산김치][HACCP인증]옛맛 강순자김치찌개/(2인분[공깃밥 별도)): 20,000원
[국내산김치][HACCP인증]옛맛 강순자김치찌개/(3인분[공깃밥 별도)): 30,000원
[국내산김치][HACCP인증]옛맛 강순자김치찌개/(4인분[공깃밥 별도)): 40,000원
[HACCP인증][국내산김치]옛맛 강순자김치찌개.(1인분[공깃밥 별도)): 11,000원
[HACCP인증][국내산김치]옛맛 강순자김치찌개.(2인분[공깃밥 별도)): 20,000원
[HACCP인증][국내산김치]옛맛 강순자김치찌개.(3인분[공깃밥 별도): 30,000원
클래식계란말이: 5,000원
[HACCP인증][국내산김치]옛맛 강순자김치찌개.(4인분[공깃밥 별도)): 40,000원
[[하이포크 냉장고기 ]]김치 돼지볶음[국내산 김치](2인분(공깃밥 별도)): 26,000원
[[하이포크 냉장고기 ]]김치 돼지볶음[국내산 김치](3인분(공깃밥 별도)): 37,000원
[[하이포크 냉장고기 ]]김치 돼지볶음[국내산 김치](4인분(공깃밥 별도)): 48,000원
[HACCP인증][[하이포크 냉장고기 ]]김치 돼지볶음(2인분(공깃밥 별도)): 26,000원
[HACCP인증][[하이포크 냉장고기 ]]김치 돼지볶음(3인분(공깃밥 별도)): 37,000원
[HACCP인증][[하이포크 냉장고기 ]]김치 돼지볶음(4인분(공깃밥 별도)): 48,000원
[100%국내산 인증김치][김치쭈꾸미볶음[공갓밥 별도]: 24,000원
[[HACCP인증 한돈]]매운양념오돌뼈[공깃밥 별도]: 20,000원
[100%국내산]강순자옛맛김치찌개[하이포크 냉장고기](1인분(공깃밥 포함)): 12,000원
김치쭈꾸미볶음: 20,000원
[100%국내산]김치부대찌개 비조리 [라면사리 서비스](1인분[공깃밥 별도]): 12,000원
매운양념오돌뼈: 17,000원
[HACCP인증][국내산김치].강순자옛맛김치찌개(1인분(공깃밥 별도)): 11,000원
[HACCP인증][국내산김치].강순자옛맛김치찌개(2인분(공깃밥 별도)): 20,000원
[HACCP인증][국내산김치].강순자옛맛김치찌개(3인분(공깃밥 별도)): 30,000원
[국내산 김치]김치 돼지볶음[[하이포크 냉장고기 ]](2인분(공깃밥 별도)): 26,000원
옛맛김치찌개: 9,000원
김치 부대찌개: 9,500원
옛맛김치찌개1인분+고기1+계란말이+라면,두부+콜라1(1~2인분): 24,500원
옛맛김치찌개2인분+고기1+계란말이+라면,두부+콜라1(2~3인분): 33,500원
클래식계란말이  (주문즉시조리,신선 5알): 6,000원
[국내산 김치]김치부대찌개 (비조리) [라면사리서비스](2인분(공깃밥 별도)): 22,000원
[국내산 김치]김치부대찌개 (비조리) [라면사리서비스](3인분(공깃밥 별도)): 33,000원
[100%국내산김치][HACCP인증]강순자옛맛김치찌개(1인분(공깃밥 별도)): 11,000원
[100%국내산김치][HACCP인증]강순자옛맛김치찌개(2인분(공깃밥 별도)): 20,000원
[100%국내산김치][HACCP인증]강순자옛맛김치찌개(3인분(공깃밥 별도)): 30,000원
[100%국내산김치][HACCP인증]강순자옛맛김치찌개(4인분(공깃밥 별도)): 40,000원
[하이포크냉장고기][HACCP인증]옛맛 강순자김치찌개.(1인분[공깃밥 별도)): 11,000원
김치돼지볶음: 11,000원
[하이포크냉장고기][HACCP인증]옛맛 강순자김치찌개.(2인분[공깃밥 별도)): 20,000원
[하이포크냉장고기][HACCP인증]옛맛 강순자김치찌개.(3인분[공깃밥 별도)): 30,000원
[하이포크냉장고기][HACCP인증]옛맛 강순자김치찌개.(4인분[공깃밥 별도)): 40,000원
[국내산김치][HACCP인증]옛맛 강순자김치찌개/(1인분[공깃밥 별도)): 11,000원
[국내산김치][HACCP인증]옛맛 강순자김치찌개/(2인분[공깃밥 별도)): 20,000원
[국내산김치][HACCP인증]옛맛 강순자김치찌개/(3인분[공깃밥 별도)): 30,000원
[국내산김치][HACCP인증]옛맛 강순자김치찌개/(4인분[공깃밥 별도)): 40,000원
[HACCP인증][국내산김치]옛맛 강순자김치찌개.(1인분[공깃밥 별도)): 11,000원
[HACCP인증][국내산김치]옛맛 강순자김치찌개.(2인분[공깃밥 별도)): 20,000원
[HACCP인증][국내산김치]옛맛 강순자김치찌개.(3인분[공깃밥 별도): 30,000원
클래식계란말이: 5,000원
[HACCP인증][국내산김치]옛맛 강순자김치찌개.(4인분[공깃밥 별도)): 40,000원
[[하이포크 냉장고기 ]]김치 돼지볶음[국내산 김치](2인분(공깃밥 별도)): 26,000원
[[하이포크 냉장고기 ]]김치 돼지볶음[국내산 김치](3인분(공깃밥 별도)): 37,000원
[[하이포크 냉장고기 ]]김치 돼지볶음[국내산 김치](4인분(공깃밥 별도)): 48,000원
[HACCP인증][[하이포크 냉장고기 ]]김치 돼지볶음(2인분(공깃밥 별도)): 26,000원
[HACCP인증][[하이포크 냉장고기 ]]김치 돼지볶음(3인분(공깃밥 별도)): 37,000원
[HACCP인증][[하이포크 냉장고기 ]]김치 돼지볶음(4인분(공깃밥 별도)): 48,000원
[100%국내산 인증김치][김치쭈꾸미볶음[공갓밥 별도]: 24,000원
[[HACCP인증 한돈]]매운양념오돌뼈[공깃밥 별도]: 20,000원
[100%국내산]강순자옛맛김치찌개[하이포크 냉장고기](1인분(공깃밥 포함)): 12,000원
김치쭈꾸미볶음: 20,000원
[100%국내산]김치부대찌개 비조리 [라면사리 서비스](1인분[공깃밥 별도]): 12,000원
매운양념오돌뼈: 17,000원
[HACCP인증][국내산김치].강순자옛맛김치찌개(1인분(공깃밥 별도)): 11,000원
[HACCP인증][국내산김치].강순자옛맛김치찌개(2인분(공깃밥 별도)): 20,000원
[HACCP인증][국내산김치].강순자옛맛김치찌개(3인분(공깃밥 별도)): 30,000원
[국내산 김치]김치 돼지볶음[[하이포크 냉장고기 ]](2인분(공깃밥 별도)): 26,000원","{
    ""월"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""15:30 - 16:30"",
        ""라스트오더"": ""21:30""
    },
    ""화"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""15:30 - 16:30"",
        ""라스트오더"": ""21:30""
    },
    ""수"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""15:30 - 16:30"",
        ""라스트오더"": ""21:30""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)10:00 - 22:00"",
        ""브레이크타임"": ""15:30 - 16:30"",
        ""라스트오더"": ""21:30""
    },
    ""금"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""15:30 - 16:30"",
        ""라스트오더"": ""21:30""
    },
    ""토"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""15:30 - 16:30"",
        ""라스트오더"": ""21:30""
    },
    ""일"": {
        ""영업시간"": ""10:00 - 22:00"",
        ""브레이크타임"": ""15:30 - 16:30"",
        ""라스트오더"": ""21:30""
    }
}"
매화쌈밥 광명점,"경기도 광명시 밤일로 36 지번
지도보기",02-898-7334,"우렁쌈밥 정식: 18,500원
우렁쌈밥 정식 소인: 9,500원
소인 돈까스: 10,000원
해물파전: 16,000원
새우튀김: 11,000원
떡갈비(2조각): 10,000원
메밀전병: 10,000원
우렁쌈밥 정식: 18,500원
우렁쌈밥 정식 소인: 9,500원
소인 돈까스: 10,000원
해물파전: 16,000원
새우튀김: 11,000원
떡갈비(2조각): 10,000원
메밀전병: 10,000원","{
    ""월"": {
        ""영업시간"": ""11:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:10""
    },
    ""화"": {
        ""영업시간"": ""11:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:10""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:10""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:10""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:10""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:10""
    },
    ""일"": {
        ""영업시간"": ""11:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:10""
    }
}"
담원 쌈밥,"경기도 광명시 밤일로 26 지번
지도보기",02-897-2210,"고등어구이정식: 18,000원
간장돼지불고기정식(2인 이상 주문): 19,000원
고추장돼지불고기정식(2인 이상 주문): 20,000원
코다리찜정식: 22,000원
불쭈꾸미정식(2인 이상 주문): 23,000원
우엉소불고기정식(2인 이상 주문): 25,000원
우렁강된장: 4,000원
쌈밥정식 소인(5~8세): 8,000원
고등어구이(추가메뉴): 13,000원
간장돼지불고기(추가메뉴): 14,000원
고추장돼지불고기(추가메뉴): 15,000원
코다리찜(추가메뉴): 17,000원
불쭈꾸미(추가메뉴): 18,000원
우엉소불고기: 20,000원
고등어구이정식: 18,000원
간장돼지불고기정식(2인 이상 주문): 19,000원
고추장돼지불고기정식(2인 이상 주문): 20,000원
코다리찜정식: 22,000원
불쭈꾸미정식(2인 이상 주문): 23,000원
우엉소불고기정식(2인 이상 주문): 25,000원
우렁강된장: 4,000원
쌈밥정식 소인(5~8세): 8,000원
고등어구이(추가메뉴): 13,000원
간장돼지불고기(추가메뉴): 14,000원
고추장돼지불고기(추가메뉴): 15,000원
코다리찜(추가메뉴): 17,000원
불쭈꾸미(추가메뉴): 18,000원
우엉소불고기: 20,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""21:00""
    }
}"
철산 명가 가마솥밥상 보리굴비,"경기도 광명시 안양천로 459 2층 지번
지도보기",0507-1338-9219,"가마솥 밥상(평일, 주말): 23,000원
행복한밥상(평일, 주말): 33,000원
명가 밥상(평일, 주말): 43,000원
보리굴비밥상: 29,000원
간장게장밥상: 
갈비찜: 55,000원
홍어회(삼합): 45,000원
명가보쌈 (대): 50,000원
바싹불고기: 35,000원
오리훈제(한마리): 55,000원
보리굴비 추가: 18,000원
가마솥밥 추가: 4,000원
명가보쌈 (중): 45,000원
오리훈제 (반마리): 40,000원
가마솥 밥상(평일, 주말): 23,000원
행복한밥상(평일, 주말): 33,000원
명가 밥상(평일, 주말): 43,000원
보리굴비밥상: 29,000원
간장게장밥상: 
갈비찜: 55,000원
홍어회(삼합): 45,000원
명가보쌈 (대): 50,000원
바싹불고기: 35,000원
오리훈제(한마리): 55,000원
보리굴비 추가: 18,000원
가마솥밥 추가: 4,000원
명가보쌈 (중): 45,000원
오리훈제 (반마리): 40,000원","{
    ""월"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""화"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""수"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:30 - 21:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""금"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""토"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""일"": {
        ""영업시간"": ""11:30 - 21:30"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    }
}"
광명 아리랑,"경기도 광명시 오리로619번길 28 광명 아리랑 지번
지도보기",02-808-5656,"돼지양념구이 정식: 25,000원
돼지왕양념구이 정식: 30,000원
주물럭 정식: 33,000원
수원왕갈비 정식: 39,000원
생갈비 정식: 49,000원
돼지양념구이: 20,000원
돼지왕양념구이: 25,000원
육회: 30,000원
한우꽃등심: 62,000원
소 생갈비: 45,000원
꽃갈비살: 40,000원
수원왕갈비: 33,000원
갈비살주물럭: 28,000원
왕갈비탕 솥밥 정식: 18,000원
우거지갈비탕 솥밥 정식: 18,000원
한우육회비빔면: 15,000원
비빔냉면: 10,000원
물냉면: 10,000원
회냉면: 12,000원
무청돌솥밥: 15,000원
간장새우 솥밥 정식: 15,000원
한우육회비빔밥: 15,000원
누룽지탕+김치찜: 6,000원
솥밥: 6,000원
된장찌개: 3,000원
공기밥: 1,000원
돼지양념구이 정식: 25,000원
돼지왕양념구이 정식: 30,000원
주물럭 정식: 33,000원
수원왕갈비 정식: 39,000원
생갈비 정식: 49,000원
돼지양념구이: 20,000원
돼지왕양념구이: 25,000원
육회: 30,000원
한우꽃등심: 62,000원
소 생갈비: 45,000원
꽃갈비살: 40,000원
수원왕갈비: 33,000원
갈비살주물럭: 28,000원
왕갈비탕 솥밥 정식: 18,000원
우거지갈비탕 솥밥 정식: 18,000원
한우육회비빔면: 15,000원
비빔냉면: 10,000원
물냉면: 10,000원
회냉면: 12,000원
무청돌솥밥: 15,000원
간장새우 솥밥 정식: 15,000원
한우육회비빔밥: 15,000원
누룽지탕+김치찜: 6,000원
솥밥: 6,000원
된장찌개: 3,000원
공기밥: 1,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""14:45""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""14:45""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""14:45""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 21:30"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""14:45""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""14:45""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""14:45""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 21:30"",
        ""브레이크타임"": ""15:00 - 16:00"",
        ""라스트오더"": ""14:45""
    }
}"
담원두부마을,"경기도 광명시 밤일로 27 지번
지도보기",02-899-7752,"A정식: 29,000원
B정식: 23,000원
C코스: 18,000원
일품요리: 
전통 콩비지: 10,000원
전통 순두부: 10,000원
해물 순두부: 12,000원
매생이순두부: 12,000원
A정식: 29,000원
B정식: 23,000원
C코스: 18,000원
일품요리: 
전통 콩비지: 10,000원
전통 순두부: 10,000원
해물 순두부: 12,000원
매생이순두부: 12,000원","{
    ""월"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 22:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""라스트오더 없음""
    }
}"
묵묵김치찜 광명아브뉴프랑점,"경기도 광명시 양지로 16 지하2층 B2-78호 지번
지도보기",0507-1444-8837,"한끼든든 묵묵 빨간 SET: 12,900원
묵묵 돼지고기 김치찜: 9,900원
묵묵 조개 칼국수: 10,900원
비빔공기: 1,900원
햄 구이: 3,900원
순살 구운 직화 고등어: 5,900원
즉석 계란말이: 5,900원
순살 감자탕 김치찜: 11,900원
순살 고등어 김치찜: 11,900원
한끼든든 묵묵 빨간 SET: 12,900원
묵묵 돼지고기 김치찜: 9,900원
묵묵 조개 칼국수: 10,900원
비빔공기: 1,900원
햄 구이: 3,900원
순살 구운 직화 고등어: 5,900원
즉석 계란말이: 5,900원
순살 감자탕 김치찜: 11,900원
순살 고등어 김치찜: 11,900원","{
    ""월"": {
        ""영업시간"": ""휴무일""
    },
    ""화"": {
        ""영업시간"": ""11:00 - 20:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""수"": {
        ""영업시간"": ""11:00 - 20:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)11:00 - 20:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""금"": {
        ""영업시간"": ""11:00 - 20:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""토"": {
        ""영업시간"": ""11:00 - 20:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""19:30""
    },
    ""일"": {
        ""영업시간"": ""11:00 - 20:00"",
        ""브레이크타임"": ""14:30 - 17:00"",
        ""라스트오더"": ""19:30""
    }
}"
북창동순두부 KTX광명점,"경기도 광명시 일직로 72 광명국제무역센터 A동 110호, 111호 지번
지도보기",02-898-2974,"고등어+LA갈비 2인 한상차림: 43,900원
고등어+갈비맛양념구이 2인 한상차림: 30,900원
LA갈비 1인 한상차림: 31,900원
갈비맛양념구이 1인 한상차림: 18,900원
북창동순두부: 10,500원
해물순두부: 11,000원
고등어+삼겹살 2인 한상차림: 29,900원
고등어+떡갈비 2인 한상차림: 29,900원
고등어+고추장불고기 2인 한상차림: 29,900원
고등어+두부김치 2인 한상차림: 26,900원
고등어+두부보쌈 2인 한상차림: 32,900원
삼겹살 1인 한상차림: 17,900원
떡갈비 1인 한상차림: 17,900원
고추장불고기 1인 한상차림: 17,900원
두부김치 1인 한상차림: 14,900원
두부보쌈 1인 한상차림: 20,900원
고등어 1인 한상차림: 15,900원
소곱창순두부: 11,500원
소고기순두부: 10,000원
통영굴순두부: 11,000원
해바랑청국장순두부: 11,500원
햄치즈라면순두부: 10,000원
핵매운라면순두부: 10,000원
햄치즈순두부: 10,000원
콩비지찌개: 12,000원
LA갈비(단품): 22,900원
갈비맛양념구이(단품): 9,900원
삼겹살: 9,900원
떡갈비(단품): 8,900원
고추장불고기(단품): 8,900원
두부김치(단품): 5,900원
두부보쌈(단품): 11,900원
고등어구이(단품): 6,900원
야채계란말이: 8,900원
치즈계란말이: 9,900원
새우만두8p: 6,900원
갈비만두8p: 6,900원
고기만두8p: 5,900원
김치만두8p: 5,900원
모둠만두8p: 6,900원
고등어+LA갈비 2인 한상차림: 43,900원
고등어+갈비맛양념구이 2인 한상차림: 30,900원
LA갈비 1인 한상차림: 31,900원
갈비맛양념구이 1인 한상차림: 18,900원
북창동순두부: 10,500원
해물순두부: 11,000원
고등어+삼겹살 2인 한상차림: 29,900원
고등어+떡갈비 2인 한상차림: 29,900원
고등어+고추장불고기 2인 한상차림: 29,900원
고등어+두부김치 2인 한상차림: 26,900원
고등어+두부보쌈 2인 한상차림: 32,900원
삼겹살 1인 한상차림: 17,900원
떡갈비 1인 한상차림: 17,900원
고추장불고기 1인 한상차림: 17,900원
두부김치 1인 한상차림: 14,900원
두부보쌈 1인 한상차림: 20,900원
고등어 1인 한상차림: 15,900원
소곱창순두부: 11,500원
소고기순두부: 10,000원
통영굴순두부: 11,000원
해바랑청국장순두부: 11,500원
햄치즈라면순두부: 10,000원
핵매운라면순두부: 10,000원
햄치즈순두부: 10,000원
콩비지찌개: 12,000원
LA갈비(단품): 22,900원
갈비맛양념구이(단품): 9,900원
삼겹살: 9,900원
떡갈비(단품): 8,900원
고추장불고기(단품): 8,900원
두부김치(단품): 5,900원
두부보쌈(단품): 11,900원
고등어구이(단품): 6,900원
야채계란말이: 8,900원
치즈계란말이: 9,900원
새우만두8p: 6,900원
갈비만두8p: 6,900원
고기만두8p: 5,900원
김치만두8p: 5,900원
모둠만두8p: 6,900원","{
    ""월"": {
        ""영업시간"": ""10:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 16:30"",
        ""라스트오더"": ""20:20""
    },
    ""화"": {
        ""영업시간"": ""10:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 16:30"",
        ""라스트오더"": ""20:20""
    },
    ""수"": {
        ""영업시간"": ""10:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 16:30"",
        ""라스트오더"": ""20:20""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)10:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 16:30"",
        ""라스트오더"": ""20:20""
    },
    ""금"": {
        ""영업시간"": ""10:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 16:30"",
        ""라스트오더"": ""20:20""
    },
    ""토"": {
        ""영업시간"": ""10:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 16:30"",
        ""라스트오더"": ""20:20""
    },
    ""일"": {
        ""영업시간"": ""10:00 - 21:00"",
        ""브레이크타임"": ""15:00 - 16:30"",
        ""라스트오더"": ""20:20""
    }
}"
대가연,"경기도 광명시 일직로 17 지번
지도보기",02-6226-2721,"대가곰탕: 10,900원
만두곰탕: 11,900원
쌀국수곰탕: 11,900원
남도꼬막비빔밥: 12,900원
우럭강된장비빔밥: 12,900원
육개장: 11,900원
대가곰탕: 10,900원
만두곰탕: 11,900원
쌀국수곰탕: 11,900원
남도꼬막비빔밥: 12,900원
우럭강된장비빔밥: 12,900원
육개장: 11,900원","{
    ""월"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""화"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""수"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""목"": {
        ""영업시간"": ""[오늘] 12.19 (목)10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""금"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""토"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    },
    ""일"": {
        ""영업시간"": ""10:30 - 21:00"",
        ""브레이크타임"": ""브레이크타임 없음"",
        ""라스트오더"": ""20:00""
    }
}"
